#{"t_start": 1708878562.1385813, "env_id": "None"}
r,l,t
-33.531082,279,21045.63204
-33.531082,279,21045.63204
-33.531082,279,21045.63204
-33.531082,279,21045.63204
-33.531082,279,21045.63204
-33.531082,279,21045.63204
-501.89444,268,21398.205137
-511.11563,274,21475.484324
-526.1459,280,21505.586418
-515.71875,282,21530.352132
-526.36536,289,21561.764345
-579.7776,308,21609.007924
-566.10254,317,21642.353905
-622.4242,331,21682.52259
-313.85812,159,21862.317541
-26.259262,351,22522.790536
-618.1347,362,22559.15111
-618.1347,362,22559.15111
-618.1347,362,22559.15111
-618.1347,362,22559.15111
-618.1347,362,22559.15111
-618.1347,362,22559.15111
-618.1347,362,22559.15111
-306.73743,150,22883.633201
-388.10098,195,22975.12932
-528.07947,277,23130.033522
-533.3887,287,23166.675998
-54.548306,288,23236.629816
-564.84955,298,23274.069677
-631.4763,344,23349.427469
-219.31462,339,23418.970191
-19.409636,270,23625.567483
-517.099,306,24287.228972
-517.099,306,24287.228972
-517.099,306,24287.228972
-517.099,306,24287.228972
-517.099,306,24287.228972
-517.099,306,24287.228972
-517.099,306,24287.228972
-535.3113,306,24287.228972
-447.8406,247,24739.758387
-544.3707,293,24841.429987
-604.8358,320,24909.45239
-577.9142,328,24947.909582
-675.7581,346,25000.234355
-72.840324,354,25067.559756
-31.831905,362,25133.959969
-730.9494,384,25192.244288
-591.6138,324,26023.063538
-591.6138,324,26023.064539
-591.6138,324,26023.064539
-591.6138,324,26023.064539
-591.6138,324,26023.064539
-591.6138,324,26023.064539
-591.6138,324,26023.064539
-17.294237,390,26199.923547
-227.48193,394,26891.624123
-52.86066,399,26955.054818
-742.9693,404,26984.171917
-159.03033,408,27046.336034
-625.63654,342,27046.336034
-774.86475,416,27081.103703
47.562447,444,27192.225246
-830.29895,447,27216.695106
-359.3778,179,27852.331482
-394.21002,181,27879.207844
-394.21002,181,27879.207844
-394.21002,181,27879.207844
-394.21002,181,27879.207844
-394.21002,181,27879.207844
-394.21002,181,27879.207844
-394.21002,181,27879.207844
-329.1516,115,28149.130247
-373.44046,128,28196.176196
-364.6235,144,28257.800884
-279.87476,159,28377.494614
-350.78485,184,28525.642392
-414.31412,209,28600.098306
-427.134,226,28708.070298
-367.86038,152,28842.076476
-324.1844,144,28924.136603
-408.04956,163,28956.544916
-431.7395,201,28999.270556
-676.747,347,29085.66343
